gbifID	ownerInstitutionCode	year	collectionCode	accessRights	type	basisOfRecord	catalogNumber	continent	country	stateProvince	county	decimalLatitude	decimalLongitude	higherGeography	higherGeographyID	locality	maximumElevationInMeters	minimumElevationInMeters	lifeStage	sex	preparations	higherClassification	kingdom	phylum	family	class	order	genus	specificEpithet	scientificName	vernacularName	identifiedBy
665886502	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167957	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665900516	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167941	Asia	China	Hong Kong	Lantau	22.2	113.98333	"Asia, China, Hong Kong, Lantau: Shek kwu Chau"		Shek kwu Chau	60	60		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877119	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167905	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665877118	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167904	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665877108	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167891	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	skull	Animalia Chordata Mammalia Soricomorpha Soricidae	Animalia	Chordata	Soricidae	Mammalia	Soricomorpha	Crocidura	attenuata	Crocidura attenuata		
269349612		1994	EBIRD			HumanObservation	OBS93951594		Hong Kong	Hong Kong		22.4821	114.032			Hong Kong: Mai Po							Animalia	Chordata	Scolopacidae	Aves	Charadriiformes	Calidris	pygmea	Calidris pygmea	Spoon-billed Sandpiper	
665886501	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167956	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877109	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167892	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Female	"skin,skull"	Animalia Chordata Mammalia Soricomorpha Soricidae	Animalia	Chordata	Soricidae	Mammalia	Soricomorpha	Suncus	murinus	Suncus murinus		
665877139	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167932	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	sikkimensis	Rattus sikkimensis		
665888840	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167962	Asia	China	Hong Kong	Lantau	22.25	113.9	"Asia, China, Hong Kong, Lantau: Ngong Ping"		Ngong Ping	450	450			cran	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Bandicota	indica	Bandicota indica		
500850692		1981	Mammalogy			PreservedSpecimen	M14953		UK/HKG							Hong Kong									Muridae		Rodentia	Niviventer	fulvescens	Niviventer fulvescens		Watts
665877141	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167934	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	sikkimensis	Rattus sikkimensis		
665877110	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167893	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	skull	Animalia Chordata Mammalia Soricomorpha Soricidae	Animalia	Chordata	Soricidae	Mammalia	Soricomorpha	Suncus	murinus	Suncus murinus		
665877142	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167935	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	sikkimensis	Rattus sikkimensis		
665877817	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167963	Asia	China	Hong Kong	Lantau	22.24806	113.88083	"Asia, China, Hong Kong, Lantau: Keung Shan"		Keung Shan	100	100			skull	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Bandicota	indica	Bandicota indica		
665877147	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167895	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Soricomorpha Soricidae	Animalia	Chordata	Soricidae	Mammalia	Soricomorpha	Suncus	murinus	Suncus murinus		
587357965		1999	EBIRD			HumanObservation	OBS98787594		Hong Kong	Hong Kong		22.491	114.036			Mai Po marsh							Animalia	Chordata	Scolopacidae	Aves	Charadriiformes	Calidris	pygmea	Calidris pygmea	Spoon-billed Sandpiper	
665900517	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167942	Asia	China	Hong Kong	Lantau	22.2	113.98333	"Asia, China, Hong Kong, Lantau: Shek kwu Chau"		Shek kwu Chau	60	60		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
829055427		1997	EBIRD			HumanObservation	OBS168655272		Hong Kong	Hong Kong		22.4954	114.049			Mai Po Nature Reserve							Animalia	Chordata	Scolopacidae	Aves	Charadriiformes	Calidris	pygmea	Calidris pygmea	Spoon-billed Sandpiper	
665900518	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167943	Asia	China	Hong Kong	Lantau	22.2	113.98333	"Asia, China, Hong Kong, Lantau: Shek kwu Chau"		Shek kwu Chau	60	60		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665886503	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167958	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665880040	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167896	Asia	China	Hong Kong	Lantau	22.23083	113.93333	"Asia, China, Hong Kong, Lantau: Tong Fuk"		Tong Fuk	10	10			skull	Animalia Chordata Mammalia Soricomorpha Soricidae	Animalia	Chordata	Soricidae	Mammalia	Soricomorpha	Suncus	murinus	Suncus murinus		
