Date,City,State,Shape,Duration,Summary,Posted
11/4/15,Worcester,MA,Unknown,Few seconds,Shooting star.,11/6/15
11/4/15,Scituate,MA,Cigar,8 seconds,Medium-large sized cigar-shaped object blinked into view very clearly much close than the many planes nearby.  Lit up a yellow-white.,11/6/15
11/2/15,Tewksbury,MA,Unknown,Second,Bright shooting object.  ((NUFORC Note:  Possible meteor??  PD)),11/6/15
11/1/15,Chelmsford,MA,Changing,30 seconds,Green comet like light.,11/6/15
11/1/15,Watertown,MA,Fireball,1 second,"Bright green fireball seen in sky over Watertown, MA.",11/6/15
11/1/15,Newton,MA,Cylinder,15-20 seconds,White nosed cylinder with a greenish flame over Rt 128.,11/6/15
11/1/15,Littleton,MA,Oval,3 seconds,"Bright white and blue-circled, oval-shaped UFO splits into 3 objects and disappears!",11/6/15
11/1/15,Danvers,MA,Changing,10 seconds,"Bright green fire ball literally half a mile above an a quarter mile away from Endicott Park, where we were standing.",11/6/15
10/26/15,Lowell,MA,Cigar,,Driving with my daughter over train tracks near Washer St. when we both noticed in the sky a white light going across the sky at a fast,10/29/15
10/25/15,Lowell,MA,Unknown,15 minutes,"Reverberating sound, which is auditory and intensely loud.",10/29/15
10/24/15,South Attleboro,MA,Circle,3 minutes,Saw 4 round lights each traveling in a circle and for a brief second as they would meet.  ((NUFORC Note:  Advertising lights.  PD)),10/29/15
10/24/15,Medford,MA,Egg,10 seconds,Was outside looking at the constellations with a friend. We were observing Orion‰Ûªs Belt and trying to locate Venus when I look to my le,10/29/15
10/20/15,Milford,MA,Other,3 minutes,Two huge lines coming straight down seemingly for miles and then totally disappearing.,10/29/15
10/20/15,Webster,MA,Unknown,3-4 minutes,I saw an orange glow as what I seen seemed to burn across the sky. It was about midnight 10/20/15 in Massachusetts and the object was h,10/29/15
10/17/15,Middleboro,MA,Light,20 minutes,Lighthouse-like light in night sky,10/29/15
10/16/15,Eastham,MA,Sphere,6 seconds,My girlfriend and I had just gotten home and took a moment to look at the stars. We saw three orbs not quite as bright as the stars.,10/29/15
10/12/15,Methuen,MA,Rectangle,1 minute,Driving home on a major HWY and a shiny metallic rectangular object appeared to my left and was completely stationary.  I looked away f,10/16/15
9/27/15,Boston,MA,Sphere,30+ minutes,A green planetoid looking sphere orbiting around the moon during the eclipse.,10/9/15
9/27/15,Salem,MA,Triangle,15 seconds,Sighting while watching the eclipse.,9/29/15
9/27/15,Boston,MA,Unknown,~15,>30 glowing specks in a massive group flying north from the east over the ocean.,9/29/15
9/27/15,Revere,MA,Light,10 minutes,One of my friends saw a small white light and another red light next to the other one and he ask me if I could see it.,9/29/15
9/26/15,Springfield,MA,Fireball,10 minutes,Awesome that really got me baffeled of what I just saw in our sky's.,9/29/15
9/23/15,Fall River,MA,Light,5 minutes,"Large red light with approximately four green flashing lights, colors vivid and movement odd",9/25/15
9/23/15,Lowell,MA,Cigar,10 minutes,"Seen over Lowell, MA, at top of Christian Hill.  Not a cloud in the sky.  At first we thought it was a shooting star,",9/25/15
9/21/15,Framingham,MA,Unknown,1 hour,Several craft moving at constant speed in sweeping patterns towards the city and back to the north.,9/25/15
9/19/15,Attleboro,MA,Light,0.5 second,Curved blue light shot towards earth,9/25/15
9/17/15,Allston,MA,Light,40 minutes,i watched this very small flashing light travel around my location for about 40 minutes flashing or blinking and moving erraticly. It w,9/17/15
9/16/15,Worcester,MA,Fireball,2 minutes,((NUFORC Note:  No information provided by source of report.  PD)),9/17/15
9/12/15,Waldoboro,MA,Light,10 minutes,Red light off coast of Maine.,9/17/15
9/12/15,Lynn,MA,Light,4 hours,"Light with flashing green and red light sits in night sky for hours, then moves northward.",9/17/15
9/8/15,Attleboro,MA,Disk,5 minutes,Saucer with dome shaped top hovering in place over busy area,9/11/15
9/8/15,Boston (northeast of),MA,Rectangle,10 minutes,"Bright fiery elongated object seen in sky northeast of Boston Ma, on Sept 8, 2015 at 6 am.",9/11/15
9/6/15,Tyngsborough,MA,Circle,10 seconds,"Two separate orange orbs, each lasting about 10 seconds, above Massapoag Pond in Tyngsborough, MA.",9/11/15
9/6/15,Spencer,MA,Chevron,10 seconds,V-shaped aircraft flying NW.,9/11/15
9/5/15,,MA,Sphere,2-4 hours,Unknown objects in the same place every night.,9/11/15
9/5/15,Milford,MA,Fireball,5 minutes,Fireball holding position with slight movement.,9/11/15
